num_voters,title,url,avg_rating,rank,geek_rating,release_date
15566.0,Gloomhaven,/boardgame/174430/gloomhaven,8.99,1,8.619,2017
26179.0,Pandemic Legacy: Season 1,/boardgame/161936/pandemic-legacy-season-1,8.66,2,8.502,2015
12423.0,Through the Ages: A New Story of Civilization,/boardgame/182028/through-ages-new-story-civilization,8.6,3,8.301,2015
26269.0,Terraforming Mars,/boardgame/167791/terraforming-mars,8.39,4,8.201,2016
31368.0,Twilight Struggle,/boardgame/12333/twilight-struggle,8.34,5,8.198,2005
13397.0,Star Wars: Rebellion,/boardgame/187645/star-wars-rebellion,8.47,6,8.165,2016
29437.0,Scythe,/boardgame/169786/scythe,8.29,7,8.107,2016
29377.0,Terra Mystica,/boardgame/120677/terra-mystica,8.24,8,8.092,2012
13650.0,Great Western Trail,/boardgame/193738/great-western-trail,8.29,9,8.042,2016
6207.0,The 7th Continent,/boardgame/180263/7th-continent,8.67,10,8.03,2017
4983.0,Gaia Project,/boardgame/220308/gaia-project,8.68,11,8.015,2017
31737.0,The Castles of Burgundy,/boardgame/84876/castles-burgundy,8.12,12,8.007,2011
32351.0,7 Wonders Duel,/boardgame/173346/7-wonders-duel,8.15,13,8.007,2015
8251.0,War of the Ring (Second Edition),/boardgame/115746/war-ring-second-edition,8.38,14,7.988,2012
21216.0,Caverna: The Cave Farmers,/boardgame/102794/caverna-cave-farmers,8.12,15,7.953,2013
52930.0,Puerto Rico,/boardgame/3076/puerto-rico,8.06,16,7.948,2002
53555.0,Agricola,/boardgame/31260/agricola,8.02,17,7.923,2007
21577.0,Mage Knight Board Game,/boardgame/96848/mage-knight-board-game,8.12,18,7.915,2011
12154.0,Viticulture Essential Edition,/boardgame/183394/viticulture-essential-edition,8.17,19,7.911,2015
12168.0,Arkham Horror: The Card Game,/boardgame/205637/arkham-horror-card-game,8.26,20,7.91,2016
12496.0,Mansions of Madness: Second Edition,/boardgame/205059/mansions-madness-second-edition,8.2,21,7.887,2016
15362.0,Concordia,/boardgame/124361/concordia,8.07,22,7.886,2013
21109.0,Blood Rage,/boardgame/170216/blood-rage,8.08,23,7.881,2015
9270.0,Mechs vs. Minions,/boardgame/209010/mechs-vs-minions,8.22,24,7.87,2016
12801.0,Orléans,/boardgame/164928/orleans,8.08,25,7.854,2014
14610.0,Star Wars: Imperial Assault,/boardgame/164153/star-wars-imperial-assault,8.14,26,7.854,2014
16337.0,Through the Ages: A Story of Civilization,/boardgame/25613/through-ages-story-civilization,8.03,27,7.85,2006
7498.0,Food Chain Magnate,/boardgame/175914/food-chain-magnate,8.22,28,7.84,2015
46766.0,Power Grid,/boardgame/2651/power-grid,7.91,29,7.827,2004
3125.0,Twilight Imperium: Fourth Edition,/boardgame/233078/twilight-imperium-fourth-edition,8.88,30,7.821,2017
8194.0,A Feast for Odin,/boardgame/177736/feast-odin,8.19,31,7.82,2016
22652.0,Eclipse,/boardgame/72125/eclipse,7.97,32,7.809,2011
4255.0,Pandemic Legacy: Season 2,/boardgame/221107/pandemic-legacy-season-2,8.46,33,7.805,2017
4768.0,Kingdom Death: Monster,/boardgame/55690/kingdom-death-monster,8.9,34,7.804,2015
11475.0,Brass: Lancashire,/boardgame/28720/brass-lancashire,8.01,35,7.789,2007
3694.0,Titan,/boardgame/103/titan,6.95,801,6.553,1980
23209.0,Robinson Crusoe: Adventures on the Cursed Island,/boardgame/121921/robinson-crusoe-adventures-cursed-island,7.95,36,7.785,2012
21402.0,Le Havre,/boardgame/35677/le-havre,7.91,37,7.782,2008
3045.0,Mystery Rummy: Jack the Ripper,/boardgame/106/mystery-rummy-jack-ripper,6.97,802,6.553,1998
1716.0,Patchistory,/boardgame/144041/patchistory,7.26,803,6.553,2013
21458.0,Tzolk'in: The Mayan Calendar,/boardgame/126163/tzolk-mayan-calendar,7.93,38,7.782,2012
22812.0,Android: Netrunner,/boardgame/124742/android-netrunner,7.92,39,7.74,2012
2411.0,Sticheln,/boardgame/354/sticheln,7.03,804,6.55,1993
2731.0,Amyitis,/boardgame/29934/amyitis,6.98,805,6.549,2007
12854.0,The Voyages of Marco Polo,/boardgame/171623/voyages-marco-polo,7.96,40,7.739,2015
11568.0,Azul,/boardgame/230802/azul,8.01,41,7.738,2017
2477.0,XenoShyft: Onslaught,/boardgame/159109/xenoshyft-onslaught,7.06,806,6.548,2015
870.0,Advanced Squad Leader: Starter Kit #3,/boardgame/20542/advanced-squad-leader-starter-kit-3,8.0,807,6.546,2007
